structure,level,ref_date,type,url,Notes
Main Structure and Greater Capital City Statistical Areas,SA1,2011,correspondence,https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&1270055006_CG_CD_2006_SA1_2011.zip&1270.0.55.006&Data%20Cubes&9127B49166B921B6CA257A2900197703&0&July%202011&24.01.2013&Latest,2006 CCD -> 2011 SA1
Main Structure and Greater Capital City Statistical Areas,MB,2011,allocation,https://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&1270055001_mb_2011_nsw_csv.zip&1270.0.55.001&Data%20Cubes&E54CFCFB843BA38FCA257801000C657D&0&July%202011&23.12.2010&Latest,2011 MB -> SA1 -> SA2 -> SA3 -> SA4 -> GCCSA -> STATE
Main Structure and Greater Capital City Statistical Areas,MB,2011,allocation,https://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&1270055001_mb_2011_vic_csv.zip&1270.0.55.001&Data%20Cubes&15193F13CA390334CA257801000C6714&0&July%202011&23.12.2010&Latest,2011 MB -> SA1 -> SA2 -> SA3 -> SA4 -> GCCSA -> STATE
Main Structure and Greater Capital City Statistical Areas,MB,2011,allocation,https://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&1270055001_mb_2011_qld_csv.zip&1270.0.55.001&Data%20Cubes&BD762B8302052E9CCA257801000C67CF&0&July%202011&23.12.2010&Latest,2011 MB -> SA1 -> SA2 -> SA3 -> SA4 -> GCCSA -> STATE
Main Structure and Greater Capital City Statistical Areas,MB,2011,allocation,https://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&1270055001_mb_2011_sa_csv.zip&1270.0.55.001&Data%20Cubes&38DB08C011A3FBA4CA257801000C686A&0&July%202011&23.12.2010&Latest,2011 MB -> SA1 -> SA2 -> SA3 -> SA4 -> GCCSA -> STATE
Main Structure and Greater Capital City Statistical Areas,MB,2011,allocation,https://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&1270055001_mb_2011_wa_csv.zip&1270.0.55.001&Data%20Cubes&62F16C26CA6980DFCA257801000C68BB&0&July%202011&23.12.2010&Latest,2011 MB -> SA1 -> SA2 -> SA3 -> SA4 -> GCCSA -> STATE
Main Structure and Greater Capital City Statistical Areas,MB,2011,allocation,https://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&1270055001_mb_2011_tas_csv.zip&1270.0.55.001&Data%20Cubes&138B02A38FB0181DCA257801000C6918&0&July%202011&23.12.2010&Latest,2011 MB -> SA1 -> SA2 -> SA3 -> SA4 -> GCCSA -> STATE
Main Structure and Greater Capital City Statistical Areas,MB,2011,allocation,https://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&1270055001_mb_2011_nt_csv.zip&1270.0.55.001&Data%20Cubes&4E1867EAC89EDF34CA257801000C6954&0&July%202011&23.12.2010&Latest,2011 MB -> SA1 -> SA2 -> SA3 -> SA4 -> GCCSA -> STATE
Main Structure and Greater Capital City Statistical Areas,MB,2011,allocation,https://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&1270055001_mb_2011_act_csv.zip&1270.0.55.001&Data%20Cubes&A0CB326A96CD8EC0CA257801000C6973&0&July%202011&23.12.2010&Latest,2011 MB -> SA1 -> SA2 -> SA3 -> SA4 -> GCCSA -> STATE
Main Structure and Greater Capital City Statistical Areas,MB,2011,allocation,https://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&1270055001_mb_2011_ot_csv.zip&1270.0.55.001&Data%20Cubes&77AC708E385A6AEFCA257801000C6998&0&July%202011&23.12.2010&Latest,2011 MB -> SA1 -> SA2 -> SA3 -> SA4 -> GCCSA -> STATE
