file_name,download_folder,prefix,download_name,file_type,2022,2019,2016,2013,2010,2007,2004,processing_function
National list of candidates,Downloads,House,Candidates,.csv,Y,Y,Y,Y,Y,Y,Y,process_candidates
Members elected,Downloads,House,MembersElected,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Nominations by state,Downloads,House,NominationsByState,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Nominations by division,Downloads,House,NominationsByDivision,.csv,Y,Y,Y,Y,N,N,N,NA
Nominations by gender,Downloads,House,NominationsByGender,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Party representation,Downloads,House,PartyRepresentationLeading,.csv,Y,Y,Y,Y,N,N,N,
Party representation,Downloads,House,PartyRepresentation,.csv,N,N,N,N,Y,Y,Y,
Seats that changed hands,Downloads,House,SeatsWhichChangedHands,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Seats decided on preferences,Downloads,House,SeatsDecidedOnPrefs,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Seats decided on first preferences,Downloads,House,SeatsDecidedOnFirstPrefs,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Non-classic divisions,Downloads,House,NonClassicDivisions,.csv,Y,Y,Y,Y,Y,N,N,NA
Political parties,Downloads,General,PartyDetails,.csv,Y,Y,Y,Y,Y,Y,Y,NA
First preferences by party,Downloads,House,FirstPrefsByParty,.csv,Y,Y,Y,Y,Y,Y,Y,NA
First preferences by state by party,Downloads,House,FirstPrefsByStateByParty,.csv,Y,Y,Y,Y,Y,Y,Y,process_first_state_party
First preferences by candidate by vote type,Downloads,House,FirstPrefsByCandidateByVoteType,.csv,Y,Y,Y,Y,Y,Y,Y,process_first_cand_vote
First preferences by candidate by polling place,Downloads,House,StateFirstPrefsByPollingPlace,NSW.csv,Y,Y,Y,Y,Y,Y,Y,
First preferences by candidate by polling place,Downloads,House,StateFirstPrefsByPollingPlace,VIC.csv,Y,Y,Y,Y,Y,Y,Y,
First preferences by candidate by polling place,Downloads,House,StateFirstPrefsByPollingPlace,QLD.csv,Y,Y,Y,Y,Y,Y,Y,
