file_name,download_folder,prefix,download_name,file_type,2023,processing_function
Votes by polling place,Downloads,Referendum,PollingPlaceResultsByState,-NSW.csv,Y,NA
Votes by polling place,Downloads,Referendum,PollingPlaceResultsByState,-VIC.csv,Y,NA
Votes by polling place,Downloads,Referendum,PollingPlaceResultsByState,-QLD.csv,Y,NA
Votes by polling place,Downloads,Referendum,PollingPlaceResultsByState,-WA.csv,Y,NA
Votes by polling place,Downloads,Referendum,PollingPlaceResultsByState,-SA.csv,Y,NA
Votes by polling place,Downloads,Referendum,PollingPlaceResultsByState,-TAS.csv,Y,NA
Votes by polling place,Downloads,Referendum,PollingPlaceResultsByState,-ACT.csv,Y,NA
Votes by polling place,Downloads,Referendum,PollingPlaceResultsByState,-NT.csv,Y,NA
Declaration votes issued by state,Downloads,General,DecVotesIssuedByState,.csv,Y,NA
Declaration votes issued by division,Downloads,General,DecVotesIssuedByDivision,.csv,Y,NA
Declaration votes received by state,Downloads,General,DecVotesReceivedByState,.csv,Y,NA
Declaration votes received by division,Downloads,General,DecVotesReceivedByDivision,.csv,Y,NA
Enrolment by state,Downloads,General,EnrolmentByState,.csv,Y,NA
Enrolment by division,Downloads,General,EnrolmentByDivision,.csv,Y,NA
Informal votes by state,Downloads,Referendum,InformalByState,.csv,Y,NA
Informal votes by division,Downloads,Referendum,InformalByDivision,.csv,Y,NA
Turnout by state,Downloads,Referendum,TurnoutByState,.csv,Y,NA
Turnout by division,Downloads,Referendum,TurnoutByDivision,.csv,Y,NA
Votes by state,Downloads,Referendum,VotesCountedByState,.csv,Y,NA
Votes by division,Downloads,Referendum,VotesCountedByDivision,.csv,Y,NA
Polling places,Downloads,General,PollingPlaces,.csv,Y,process_coords
Postal vote applications by total,Elections,Statistics,see info spreadsheet,.csv,Y,NA
Pre-poll votes,Elections,Statistics,see info spreadsheet,.csv,Y,process_ppv
Votes by SA1,Elections,Statistics,see info spreadsheet,.csv,Y,process_ccd
Overseas,Elections,Statistics,see info spreadsheet,.csv,Y,process_overseas
