aec_reference,date,type,event,postal,prepoll,votes,overseas,types
,2025-05-03T00:00:00Z,Federal Election,2025,,,,,
29807,2024-05-13T00:00:00Z,Federal By-Election,2024_Cook,,,,,
29778,2024-03-02T00:00:00Z,Federal By-Election,2024_Dunkley,,,,,
29581,2023-10-14T00:00:00Z,Referendum,2023,https://www.aec.gov.au/referendums/learn/files/Postal-Votes-231030.csv,https://www.aec.gov.au/referendums/learn/files/prdelms.Pre_polls_issued.231014.06.00.csv,https://www.aec.gov.au/Elections/referendums/files/2023-referendum-votes-sa1.csv,https://www.aec.gov.au/Elections/referendums/files/2023%20Ref-os-votes-by-post-state-division.csv,https://www.aec.gov.au/Elections/referendums/files/ReferendumResultsByVoteType.csv
29422,2023-07-15T00:00:00Z,Federal By-Election,2023_Fadden,,,,,
28791,2023-05-01T00:00:00Z,Federal By-Election,2023_Aston,,,,,
27966,2022-05-21T00:00:00Z,Federal Election,2022,https://www.aec.gov.au/Elections/Federal_Elections/2022/files/downloads/Postal-Votes-220521-v2.csv,https://www.aec.gov.au/Elections/Federal_Elections/2022/files/downloads/20220620_WEB_FINAL_Pre-poll_report_FE2022.csv,https://www.aec.gov.au/Elections/Federal_Elections/2022/files/downloads/2022-federal-election-votes-sa1.csv,https://www.aec.gov.au/Elections/Federal_Elections/2022/files/downloads/2022-os-votes-by-post-state-division.csv,
25881,2022-05-21T00:00:00Z,Federal By-Election,2020_Groom,,,,,
25820,2022-05-21T00:00:00Z,Federal By-Election,2020_EdenMonaro,,,,,
24310,2019-05-18T00:00:00Z,Federal Election,2019,https://www.aec.gov.au/Elections/federal_elections/2019/files/downloads/20190518_WEB_Postal_Report_FE2019.csv,https://www.aec.gov.au/Elections/federal_elections/2019/files/downloads/20190518_WEB_Pre-poll_Report_FE2019.csv,https://www.aec.gov.au/Elections/federal_elections/2019/files/downloads/polling-place-by-sa1s-2019.csv,https://www.aec.gov.au/Elections/federal_elections/2019/files/downloads/2019-os-votes-by-post-state-division.xlsx,
22844,2018-10-20T00:00:00Z,Federal By-Election,2018_Wentworth,,,,,
22692,2018-07-28T00:00:00Z,Federal By-Election,2018_Braddon,,,,,
22693,2018-07-28T00:00:00Z,Federal By-Election,2018_Fremantle,,,,,
22694,2018-07-28T00:00:00Z,Federal By-Election,2018_Longman,,,,,
22695,2018-07-28T00:00:00Z,Federal By-Election,2018_Mayo,,,,,
22696,2018-07-28T00:00:00Z,Federal By-Election,2018_Perth,,,,,
21751,2018-03-17T00:00:00Z,Federal By-Election,2018_Batman,,,,,
21379,2017-12-16T00:00:00Z,Federal By-Election,2017_Bennelong,,,,,
21364,2017-12-02T00:00:00Z,Federal By-Election,2017_NewEngland,,,,,
20499,2016-07-02T00:00:00Z,Federal Election,2016,https://www.aec.gov.au/Elections/Federal_Elections/2016/files/20160702_WEB_Postal_Report.csv,https://www.aec.gov.au/Elections/federal_elections/2016/files/20160702_WEB_Pre-Poll_Report.csv,https://www.aec.gov.au/Elections/Federal_Elections/2016/files/polling-place-by-sa1s-2016.xlsx,,
19402,2015-12-05T00:00:00Z,Federal By-Election,2015_NorthSydney,,,,,
18126,2015-09-19T00:00:00Z,Federal By-Election,2015_Canning,,,,,
17875,2015-04-05T00:00:00Z,Federal By-Election,2014_WA,,,,,
17552,2014-02-08T00:00:00Z,Federal By-Election,2014_Griffith,,,,,
17496,2013-09-07T00:00:00Z,Federal Election,2013,https://www.aec.gov.au/Elections/Federal_Elections/2013/files/statistics/e2013-pva-stats-07-09.csv,https://www.aec.gov.au/Elections/Federal_Elections/2013/files/statistics/e2013-prepoll-stats-07-09.csv,https://results.aec.gov.au/17496/Website/External/GeneralPollingplaceStatisticsByCcdDownload-17496.zip,https://www.aec.gov.au/Elections/Federal_Elections/2013/files/e2013-os-stats-all.csv,
15508,2010-08-21T00:00:00Z,Federal Election,2010,https://www.aec.gov.au/Elections/Federal_Elections/2010/files/e2010-pva-stats-19-08.csv,https://www.aec.gov.au/Elections/Federal_Elections/2010/files/e2010-prepoll-stats-19-08.csv,,https://www.aec.gov.au/Elections/Federal_Elections/2010/files/e2010-os-stats-division.csv,
14358,2009-12-05T00:00:00Z,Federal By-Election,2009_Higgins,,,,,
14357,2009-12-05T00:00:00Z,Federal By-Election,2009_Bradfield,,,,,
13827,2008-09-06T00:00:00Z,Federal By-Election,2008_Lyne,,,,,
13826,2008-09-06T00:00:00Z,Federal By-Election,2008_Mayo,,,,,
13813,2008-06-28T00:00:00Z,Federal By-Election,2008_Gippsland,,,,,
13745,2007-11-24T00:00:00Z,Federal Election,2007,,,,,
12426,2005-03-19T00:00:00Z,Federal By-Election,2005_Werriwa,,,,,
12246,2004-10-09T00:00:00Z,Federal Election,2004,,,,,
